,A* cost to goal (dependant),State,x distance,y distance
647,-1.0,Start,0,0
648,27.0,Start,3,5
649,20.0,RIGHT,3,5
650,13.0,BASH,3,5
651,-5.0,FORWARD,3,4
652,-20.0,LEFT,3,3
653,-37.0,FORWARD,3,3
654,-57.0,BASH,2,3
655,-83.0,FORWARD,1,3
656,-106.0,RIGHT,0,3
657,-130.0,FORWARD,0,3
658,-156.0,BASH,0,2
659,-190.0,FORWARD,0,1
660,1.0,Goal,0,0
661,15.0,Start,3,5
662,8.0,LEFT,3,5
663,1.0,FORWARD,3,5
664,-8.0,LEFT,3,4
665,-18.0,BASH,3,4
666,-33.0,FORWARD,2,4
667,-44.0,FORWARD,1,4
668,-55.0,RIGHT,0,4
669,-66.0,FORWARD,0,4
670,-80.0,BASH,0,3
671,-100.0,FORWARD,0,2
672,-115.0,FORWARD,0,1
673,1.0,Goal,0,0
674,13.0,Start,2,4
675,8.0,LEFT,2,4
676,3.0,BASH,2,4
677,-6.0,FORWARD,2,3
678,-13.0,LEFT,2,2
679,-20.0,BASH,2,2
680,-37.0,FORWARD,1,2
681,-48.0,RIGHT,0,2
682,-60.0,BASH,0,2
683,-80.0,FORWARD,0,1
684,1.0,Goal,0,0
685,11.0,Start,5,1
686,6.0,FORWARD,5,1
687,1.0,BASH,4,1
688,-7.0,FORWARD,3,1
689,-14.0,BASH,2,1
690,-27.0,FORWARD,1,1
691,-38.0,RIGHT,0,1
692,-50.0,FORWARD,0,1
693,1.0,Goal,0,0
694,2.0,Start,2,0
695,1.0,LEFT,2,0
696,0.0,LEFT,2,0
697,-1.0,FORWARD,2,0
698,-4.0,FORWARD,1,0
699,1.0,Goal,0,0
700,25.0,Start,0,8
701,18.0,RIGHT,0,8
702,11.0,FORWARD,0,8
703,-5.0,BASH,0,7
704,-23.0,FORWARD,0,6
705,-40.0,FORWARD,0,5
706,-62.0,BASH,0,4
707,-89.0,FORWARD,0,3
708,-114.0,FORWARD,0,2
709,-140.0,FORWARD,0,1
710,1.0,Goal,0,0
711,0.0,Start,0,1
712,0.0,RIGHT,0,1
713,0.0,FORWARD,0,1
714,1.0,Goal,0,0
715,21.0,Start,3,5
716,14.0,LEFT,3,5
717,7.0,LEFT,3,5
718,0.0,BASH,3,5
719,-16.0,FORWARD,2,5
720,-27.0,LEFT,1,5
721,-39.0,BASH,1,5
722,-61.0,FORWARD,1,4
723,-80.0,BASH,1,3
724,-100.0,FORWARD,1,2
725,-119.0,FORWARD,1,1
726,-140.0,RIGHT,1,0
727,-162.0,FORWARD,1,0
728,1.0,Goal,0,0
729,20.0,Start,7,0
730,14.0,LEFT,7,0
731,8.0,LEFT,7,0
732,2.0,FORWARD,7,0
733,-9.0,BASH,6,0
